YEAR,WATER SPREADING,INJECTION,PUMPING,RECHARGE,SPECIFIC STORAGE,SPECIFIC YIELD,DRAINS,GHB OCEAN,GHB OC,GHB WHT,GHB LAN,Los Angeles Forebay_to_Hollywood,Los Angeles Forebay_to_WRD Los Angeles Forebay,Los Angeles Forebay_to_Central Basin,WRD Central Basin_to_Orange County,WRD Central Basin_to_West Coast,WRD Central Basin_to_Santa Monica,WRD Central Basin_to_WRD Los Angeles Forebay,WRD Central Basin_to_Montebello Forebay,WRD Central Basin_to_Whitter,WRD Central Basin_to_Central Basin,WRD Central Basin_to_North Orange County,WRD Central Basin_to_South Orange County,Orange County_to_North Orange County,Orange County_to_South Orange County,Santa Monica Bay_to_West Coast,Santa Monica Bay_to_Santa Monica,San Pedro Bay_to_West Coast,San Pedro Bay_to_South Orange County,West Coast_to_Santa Monica,West Coast_to_South Orange County,Santa Monica_to_Hollywood,Santa Monica_to_Central Basin,Hollywood_to_Central Basin,WRD Los Angeles Forebay_to_Montebello Forebay,Montebello Forebay_to_Whitter,Whitter_to_North Orange County
1991,172970.44351068916,0.0,-271231.22465352004,25980.967071692237,2039.189420955231,-2105.2837342095136,-4634.072162656522,6037.169586382729,41885.53488598252,23709.908347058095,5347.5758748268345,16.405367667414033,-7173.179881793395,-139.99635359253992,-6736.893480780296,-5110.938730775458,1.7607497142336683,-4497.487229553715,122441.98811502234,3515.7545904682447,2876.148609484046,893.4609362353011,2483.871284418923,334.10694001523757,3383.2754756018544,-192.25440087351612,88.20985184647937,-5298.353450037777,-613.3490014513549,1631.2288644665673,210.07193791248903,912.5986424203857,-267.3235650493702,-674.0084624161641,2348.2505693574844,-3017.592149227109,3374.682885676956
1992,231748.5942118367,0.0,-275758.8694041731,80417.38375927022,-2509.1797403040227,-48858.81768372249,-59069.63371525463,5843.510746178727,49004.70775906404,13967.132318990063,5215.27137949628,7.507523826606994,-8392.155184434729,-712.7831118201738,-7417.777238833853,-4274.423322833014,0.814882944927127,-6943.563997919814,131800.19657631408,3628.6657129270357,2670.238959324771,905.3691600698737,2542.6949691720624,340.10599541865884,3005.5880062126644,-183.3013655007328,88.52783680386923,-5082.044956620096,-428.9109477679288,1813.5583758632756,200.86815038266982,828.4792477814264,-207.0425871044334,-666.587387514922,2715.7277778743205,-3634.990598608274,3182.4628529986267
1993,187233.4802912649,0.0,-211051.39692474803,158850.13823522875,-16818.98072851467,-170947.7837819322,-21412.655194350762,4904.748563829174,42656.4077099288,21621.24717436064,4964.837480752925,-3.3922185175821893,-6874.252863932059,-1833.1333784887706,-12646.637495146577,-6138.862848073864,-5.403929578441882,-13083.932448749172,135870.03111286648,3669.392655026651,1006.0280621438257,863.0168070943971,2223.190725296729,428.0422092077075,1829.966521711226,-15.510117930045562,99.47811209122636,-4815.947097827553,312.3572904293567,1137.6493612205477,150.07932799154972,816.3524845885903,38.15824288938549,-565.6836704723892,3383.6414611188575,-4677.128742139007,2691.824654341386
1994,135173.34653071582,0.0,-244885.02583314298,22115.489209617506,-1631.280517037389,10560.202988934963,-8549.803512868599,4471.020025895946,51660.28382912381,25801.27247942121,5284.438331588344,12.479117094859554,-7082.760868920828,-403.38149183099375,-8167.163803126654,-5490.66045641767,-5.699120653650622,-9117.9909771533,124589.05688027717,3829.991178292558,1724.9069799328759,849.2873691083605,1796.2549090270431,391.1471269387021,327.1363637579745,-22.951611559604178,58.383290500860454,-4686.672173042154,517.9219384627413,681.1658784126059,200.8655675018732,868.9780877109913,40.94976908745916,-538.043020994207,3293.362807767696,-421.75589220755234,2686.5067006139493
1995,145799.37383973377,0.0,-267187.2864110277,128049.29638461648,-4218.770583103024,-76660.08641679263,-10905.65238642413,4102.790446037152,46894.58281100548,29068.538419645956,5057.332389726147,2.5486985743730535,-8986.886495598219,-1064.92542569395,-10285.24595801904,-5241.724629458008,-5.651722450974535,-8600.754891124883,128163.20563894357,4064.790112505364,2173.0905665976234,829.9494573855416,1085.473677789144,436.3781797275591,1813.0798762979916,-10.165130593979686,110.43013774551292,-4297.310421751057,435.5818548372122,640.4249180701415,135.55487400737542,1021.4440115144715,22.756027485844488,-614.7197387478955,3010.840726608243,-1276.932999719219,2313.753460770688
1996,144786.3712107418,0.0,-272566.07018776936,40011.09887521371,2032.5196908745547,4289.638471322024,-6526.777033659453,4408.965589039009,46505.266325583136,31836.985751122556,5222.157370544324,17.82205037231123,-8044.462970815582,-404.50329328318907,-13055.905758056066,-7167.793808289699,-1.702238924933953,-5840.20182631355,124083.0554720918,4094.584205968774,2542.8788394883404,921.9185915554674,1188.5614372430437,444.64130235765913,3447.6507252726606,-89.1571241648871,65.68618629914992,-4768.339174917164,342.3492117949676,1177.5917835690257,189.15339623115875,1022.4572891108817,-10.938488981868371,-637.6580376836046,2979.4459728586226,-388.228837019876,2454.6570751909017
1997,118336.30337913752,0.0,-275980.28986520297,67443.73355035596,3113.152604378748,6287.113934467321,-7379.927656814044,4904.839032444128,44845.21171993382,33222.35386058694,5207.733031697951,19.626165488838723,-7954.950975147358,-541.4884385299354,-12213.829101609499,-5989.988490792222,-1.1266238521840455,-4731.114182772442,121124.10192232991,4241.69510630307,2591.5650195911057,980.3509550986436,2474.37833972147,469.24878571172343,2837.0772407670397,-85.81402146136284,92.0769617055732,-5185.178743638435,189.46774437462065,1289.7130845121656,221.3335425859793,1075.8698265879289,-14.677754275517309,-668.8948193649667,3020.86816499263,1169.0708080619488,2466.609124706421
1998,127829.32770516147,0.0,-280307.5396774248,187726.6602006577,-2089.248684869606,-104112.61896854121,-15263.857815413747,4945.666449695296,44867.02969992229,31459.577406404213,4945.220391727468,5.821346693649914,-10482.983852027035,-1256.261487699022,-11409.086721201282,-6367.400942964524,-5.613820120527354,-3707.471994476082,125914.50256327643,4447.245375028385,2321.4191865625453,1026.8816001175212,2742.1334740737825,577.6164560700445,1599.429163540961,-83.21640032189728,155.0089902114766,-5191.337216602527,320.03086602295025,1612.654503751975,166.40648227391526,1418.1937571295477,47.184948176800724,-683.6087571094,3103.875045101099,550.4950914475671,2289.0697968868444
1999,76371.19579580377,0.0,-295712.9116580959,25117.074787158628,7216.637309500188,100994.07325970694,-7894.421375055928,5243.274176046478,44863.274757893545,38568.684176867304,5233.385398892344,25.341462411378387,-9433.812376626707,137.85366852893407,-12609.609171846703,-6059.651517981878,0.33085945773806896,-1723.5867630669916,109360.26333477469,4640.406681130535,2709.759509485864,1144.7634460400113,1731.8731388958288,543.4341300958145,5515.610919300914,-168.45097066306,101.94004900730118,-5269.662855357568,31.217036272808855,2032.8208608010013,209.9026906042783,1082.9475029330285,-46.53095089003137,-706.4298139927761,2652.5510669075993,5088.932016703966,2551.660706479768
2000,121816.3123398851,0.0,-287277.8688293774,30272.393850456247,3587.8053867260596,41066.675571308646,-5641.409503229539,5439.0941597076935,48611.34078356059,36867.35607282819,5258.580892760036,33.73627288193993,-9110.498072456254,316.50997363705955,-11874.619530630354,-5172.181630104703,2.1910920313776727,-128.86295378938638,110841.06197878931,4481.992146861116,2796.4893000524635,1165.9116831896922,1914.3107117921454,525.1172603773281,5589.864052889951,-172.40460112306658,126.02832846220538,-5270.505230879104,-117.2431612332464,2001.9438979551958,234.28590337947986,901.9427433192518,-100.67432337843817,-673.9752508465517,2165.681470235567,1329.367855001768,2604.738288088079
